sample_id,method,joint_valid_ratio,zed_valid_ratio,method_valid_ratio,zed_median_m,method_median_m,median_scale_to_zed,raw_rmse,raw_mae,raw_median_abs,raw_bias,raw_abs_rel,raw_sq_rel,raw_rmse_log,raw_log10,raw_silog,raw_delta1,raw_delta2,raw_delta3,pair_mae,pair_rmse,pair_mean_rel_to_a,pair_symmetric_rel,pair_median_scale_b_over_a,pair_corr,pair_grad_mae,scaled_rmse,scaled_mae,scaled_median_abs,scaled_bias,scaled_abs_rel,scaled_sq_rel,scaled_rmse_log,scaled_log10,scaled_silog,scaled_delta1,scaled_delta2,scaled_delta3
sample_000003,da3_mono,0.8332899305555556,0.8332899305555556,1.0,1.7914986610412598,2.07539963722229,0.8085364699363708,0.6665418010851804,0.5742541212690417,0.506234884262085,0.5529020158958855,0.31674427945707156,0.19730389452983826,0.29045844934041815,0.11699093223869247,11.874680773087482,0.32534507005573204,0.945820094796604,0.9947288921297984,0.5742541212690417,0.6665418010851804,0.31674427945707156,0.2668983547107953,1.2368025681354151,0.9706022978188052,,0.32773871661160603,0.19474232967703708,0.11729291081428528,0.03855505228427569,0.1028599783470278,0.03600969692237725,0.12985354766016727,0.04218147902184362,11.874680768108412,0.9219386426376374,0.9906818063440804,0.9990364081462576
sample_000003,da3_multiview,0.8332899305555556,0.8332899305555556,1.0,1.7914986610412598,2.0364933013916016,0.7728153467178345,0.7251224810420714,0.6186338582678855,0.4751427173614502,0.6022409184665828,0.31894846365930357,0.20922676624865125,0.28611693146479994,0.11867026582117975,9.350310944501127,0.2412677743632481,0.9753060055211209,0.9969477576957133,0.6186338582678855,0.7251224810420714,0.31894846365930357,0.27101372742282,1.2939701711707663,0.9761151414994153,,0.29291108572364627,0.14678512603080213,0.07248789072036743,-0.019276188047666513,0.06528660007406953,0.02360207885915713,0.09436058785848046,0.027800852279630913,9.350310942319563,0.9731444346059691,0.9935621646960779,0.9990207823324131
sample_000004,da3_mono,0.8925868055555556,0.8925868055555556,1.0,2.6680796146392822,3.19624400138855,0.8354875445365906,0.9101030005812966,0.7015925982794823,0.543174147605896,0.25091634743786434,0.2354985906058116,0.21296290688874778,0.2548219764678377,0.09666083961235986,22.393017786191784,0.6397263338066248,0.941080077023321,0.9890154241145236,0.7015925982794823,0.9101030005812966,0.2354985906058116,0.22060263138226227,1.1969059767913408,0.8069188990852807,,0.9204463513132208,0.4533923071087122,0.13107502460479736,-0.27622907526478513,0.11475212707387407,0.15961165406773226,0.2313515782613884,0.056933223052075134,22.39301779554487,0.847523972536129,0.9041536187345613,0.9604331589286756
sample_000005,da3_mono,0.9296788194444444,0.9296788194444444,1.0,2.4646527767181396,2.708996295928955,0.9236065149307251,1.3414217328262852,0.8770024452776339,0.35046839714050293,-0.4059321869098512,0.22476270632700754,0.3294535590567203,0.324514915195076,0.10900684465853691,32.09621530993122,0.6581200571433907,0.7999841268359181,0.9321749035938711,0.8770024452776339,1.3414217328262852,0.22476270632700754,0.24632681705596057,1.0827121404462954,0.6826253894506384,,1.4349143424547144,0.8283203930620784,0.193872332572937,-0.6131957200584435,0.18255161879254536,0.356525753834279,0.34530632211064016,0.09766226846285415,32.09621530000196,0.7123035695944874,0.7785506867477754,0.8723050635393421
sample_000005,da3_multiview,0.9296788194444444,0.9296788194444444,1.0,2.4646527767181396,2.7825815677642822,0.897530198097229,1.3014990244901183,0.8833463936249686,0.3900603652000427,-0.3388230505413172,0.2319179982091247,0.31663319428880055,0.31380854548967113,0.10993715106220678,31.263392714598144,0.6707765712098153,0.8104930951736244,0.9594580715039356,0.8833463936249686,1.3014990244901183,0.2319179982091247,0.24907451274757594,1.1141686246669045,0.6900709805814524,,1.4260747893110046,0.8149693390510745,0.16193759441375732,-0.6237110246984136,0.17380174262130957,0.3501401941304543,0.3406294178436106,0.09413402741395066,31.26339271778561,0.7204175575869056,0.7801053231122607,0.8757878224820026
sample_000006,da3_mono,0.9395833333333333,0.9395833333333333,1.0,2.3229286670684814,3.1907424926757812,0.7243965864181519,1.3438179616671257,1.1347650370725788,0.8718600273132324,0.12099194419835278,0.37908672560938617,0.4503762985101433,0.36972425952854154,0.15370846616488315,34.05999516867909,0.05186160384331116,0.8447754988913525,0.9881836659275683,1.1347650370725788,1.3438179616671257,0.37908672560938617,0.34922622408721316,1.3804593296013812,0.750113935323321,,1.6004801247198153,0.8185518566229232,0.10007274150848389,-0.7452734033917183,0.1605793913046548,0.41757946478523217,0.38457846585259947,0.09381936133811165,34.05999516603753,0.7657566518847007,0.7787093495934959,0.8133869179600887
sample_000006,da3_multiview,0.9395833333333333,0.9395833333333333,1.0,2.3229286670684814,3.3494274616241455,0.6896896362304688,1.2988272721997698,1.1609950176919264,1.0210092067718506,0.30063553325004505,0.40738167197027325,0.4807135876493957,0.3736944178152287,0.15801056601696484,31.975972396586943,0.04806448632668145,0.8748059866962306,0.9977642276422765,1.1609950176919264,1.2988272721997698,0.40738167197027325,0.35924309623652956,1.4499275331007098,0.7536437990453654,,1.5506876748244744,0.7914522472988602,0.09843188524246216,-0.730464544497824,0.15443182705424302,0.39099124529058854,0.36602304562307286,0.08939743663103783,31.975972397743895,0.7652208056171471,0.7799150036954915,0.8346960458240946
sample_000007,da3_mono,0.9566536458333333,0.9566536458333333,1.0,2.2818217277526855,2.1430160999298096,1.0558421611785889,0.6915363613206651,0.3289409322563587,0.13754785060882568,-0.18690634667333889,0.1096815824076889,0.11580329449808184,0.22940275984454986,0.054807149420105956,22.23417029531693,0.8798845803105987,0.9110215822115756,0.9524392844342212,0.3289409322563587,0.6915363613206651,0.1096815824076889,0.1234853896165339,0.947111242345612,0.5440968511655124,,0.6708748864302063,0.3575452263565655,0.18079757690429688,-0.06839995567768316,0.1283548445940536,0.11425812733213364,0.22235199697402172,0.06016093198812804,22.23417029793693,0.8774663926356431,0.9118972111445333,0.9619214837600323
sample_000007,da3_multiview,0.9566536458333333,0.9566536458333333,1.0,2.2818217277526855,2.1879000663757324,1.033344030380249,0.6705125377330736,0.32106258890934747,0.14220142364501953,-0.15783080932056284,0.10402799094402257,0.10737181908425787,0.21669541157812994,0.05193674242543192,21.17413094074688,0.8908412843162609,0.9183169776737307,0.9558510614165227,0.32106258890934747,0.6705125377330736,0.10402799094402257,0.11726542653242905,0.9677318812277614,0.571040024532454,,0.6583388813589286,0.34199649790926856,0.1677541732788086,-0.08609971292350548,0.11675003045487474,0.10634250917783203,0.21215676229718888,0.05590065769813173,21.174130938854006,0.8905962896925318,0.9208440518481215,0.961254553950992
sample_000008,da3_mono,0.9696006944444444,0.9696006944444444,1.0,2.1388258934020996,2.8993453979492188,0.736814022064209,1.1215008371752546,0.7671419174745369,0.6472047567367554,0.3125768193421824,0.3102953930064753,0.29468660345695435,0.3178937414872694,0.12452198673715906,25.218676146565567,0.26323658436140307,0.9327919926945872,0.9729135705205106,0.7671419174745369,1.1215008371752546,0.3102953930064753,0.28294300148148444,1.3571945959406908,0.6059960715543101,,1.1666362226577496,0.40234436437186905,0.11557680368423462,-0.36496940284701146,0.10442247173776406,0.19542406288062966,0.27588935086184,0.057201413051420506,25.21867615483236,0.9133690844956938,0.9292601478987985,0.9352808465684256
sample_000008,da3_multiview,0.9696006944444444,0.9696006944444444,1.0,2.1388258934020996,3.1187100410461426,0.6850137114524841,1.225143108049939,1.001084756778837,0.9550880193710327,0.5932211267809195,0.44656241442405814,0.463216357793513,0.39475232020363665,0.16627295790417324,25.262274466267996,0.014892836040036527,0.9022408637576322,0.9778465147093055,1.001084756778837,1.225143108049939,0.44656241442405814,0.3772394746554622,1.459824815519894,0.6088449587815892,,1.1492016680581707,0.35973572299770473,0.06719958782196045,-0.30607897098698283,0.08021381455659572,0.1857727969930897,0.26351604702090065,0.04539228959698397,25.26227445440487,0.9234632670235814,0.929609303658078,0.9366998513849845
